customer_id,age,location,gender,transacted_amount,transacted_date,credit/debit,zip,ssn,transacted_at,fname,lname,email
CUST301488,36,MN,M,12832,19-09-2022,1,419154,8887475444,Pay with Tap,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,48233,23-10-2022,1,199520,7323084732,Pay with Tap,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,46000,07-02-2023,1,522663,1425823974,Zelle QR Code,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,54991,22-01-2023,1,236362,8475385450,Help Center,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,71251,21-09-2022,1,419154,8887475444,Food Street,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,35028,25-01-2023,1,199520,7323084732,Fuel,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,22869,13-02-2023,1,522663,1425823974,Cloths,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,49695,27-03-2023,1,236362,8475385450,Pay with Tap,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,73480,03-11-2022,1,419154,8887475444,Pay with Tap,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,13099,16-07-2022,1,199520,7323084732,Zelle QR Code,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,5283,03-09-2022,1,522663,1425823974,Help Center,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,84655,17-02-2023,1,236362,8475385450,Food Street,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,16434,05-08-2022,1,419154,8887475444,Fuel,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,86030,03-03-2023,1,199520,7323084732,Cloths,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,27467,27-07-2022,1,522663,1425823974,Pay with Tap,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,14415,07-10-2022,1,236362,8475385450,Pay with Tap,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,57323,03-10-2022,1,419154,8887475444,Zelle QR Code,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,2971,24-08-2022,1,199520,7323084732,Help Center,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,64564,27-10-2022,1,522663,1425823974,Food Street,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,36932,22-08-2022,1,236362,8475385450,Fuel,Sarah,Campbell,sarah.campbell@reese.com
CUST854589,36,MN,M,14554,16-01-2023,1,419154,8887475444,Cloths,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,9522,10-03-2023,1,199520,7323084732,Pay with Tap,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,85393,08-10-2022,1,522663,1425823974,Pay with Tap,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,26185,18-08-2022,1,236362,8475385450,Zelle QR Code,Sarah,Campbell,sarah.campbell@reese.com
CUST235925,36,MN,M,87181,25-12-2022,1,419154,8887475444,Help Center,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,69638,07-10-2022,1,199520,7323084732,Food Street,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,33833,08-10-2022,1,522663,1425823974,Fuel,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,41259,06-09-2022,1,236362,8475385450,Cloths,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,40545,15-07-2022,1,419154,8887475444,Pay with Tap,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,95460,10-07-2022,1,199520,7323084732,Pay with Tap,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,67416,18-07-2022,1,522663,1425823974,Zelle QR Code,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,50348,27-09-2022,1,236362,8475385450,Help Center,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,25591,31-07-2022,1,419154,8887475444,Food Street,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,60902,26-02-2023,1,199520,7323084732,Fuel,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,61271,16-03-2023,1,522663,1425823974,Cloths,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,8254,09-07-2022,1,236362,8475385450,Pay with Tap,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,2672,09-09-2022,1,419154,8887475444,Pay with Tap,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,69089,20-10-2022,1,199520,7323084732,Zelle QR Code,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,33611,01-03-2023,1,522663,1425823974,Help Center,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,81103,03-02-2023,1,236362,8475385450,Food Street,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,20144,01-03-2023,1,419154,8887475444,Fuel,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,58720,22-09-2022,1,199520,7323084732,Cloths,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,28937,11-03-2023,1,522663,1425823974,Pay with Tap,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,21406,25-01-2023,1,236362,8475385450,Pay with Tap,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,54401,22-12-2022,1,419154,8887475444,Zelle QR Code,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,25802,21-02-2023,1,199520,7323084732,Help Center,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,2320,21-11-2022,1,522663,1425823974,Food Street,Derek,Rivera,derek.rivera@greene.com
